epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,1.4031549184255196,1.3292623741526,0.20306062389640966,0.1577899328444768,0.20815554961021046,0.27513506403264987
2,0.4553736350171163,0.2760958010494762,0.785167745732784,0.6371606635711703,0.613787043828642,0.6841470881150524
3,0.22300528000358125,0.2516598747420112,0.8040023543260741,0.6866518460403342,0.6855894229739616,0.715989011579806
4,0.1762115312969758,0.4057536805179757,0.7469099470276633,0.6779724552577487,0.669747447194563,0.7593573290759411
5,0.12314483427346691,0.2702915399055764,0.8263684520306063,0.7482764011444104,0.761822964848208,0.7556683860955048
6,0.10826117171458925,0.18698253306680065,0.8540317834020011,0.745886440001755,0.749734683587267,0.7449154171939698
7,0.09921435046650824,0.22574755555579543,0.8416715715126545,0.7393063239533781,0.7666479225829689,0.7314741577565375
8,0.07634038469625241,0.26749877917496917,0.8652148322542672,0.7733831743899723,0.7721794096348008,0.7855753255765346
9,0.07347873760918959,0.3034487215939497,0.8246027074749853,0.7295345550596691,0.7592477347153511,0.7543849701621185
10,0.06996378057082323,0.26625717997130394,0.8310771041789288,0.7396366287676511,0.7112360428732044,0.7880368713758859
11,0.06499114302232636,0.31623094505893673,0.8275456150676869,0.7558084230486444,0.7549413830626569,0.7791153637954257
12,0.061618871904985856,0.27655823798766804,0.8346085932901707,0.7466454119779605,0.7401631299922471,0.7714042772006878
13,0.04688014688714979,0.4092716038243593,0.8281341965862272,0.7496689625040097,0.7625573381563646,0.7648104006960502
14,0.054042912911135846,0.33592097587298464,0.8475573866980577,0.7582580157475926,0.7314816502914677,0.7915264356877554
15,0.04471316145565386,0.40725287890142536,0.8387286639199529,0.7136740215494803,0.702702501208846,0.7360410950447047
16,0.04316613333140966,0.3231528197195833,0.8634490876986463,0.7703510915624242,0.8031413624327983,0.7459263500245621
17,0.0421558672267751,0.32940889558723246,0.8693349028840495,0.7714069369373755,0.8277028602838828,0.7556984826550526
18,0.04953575111860541,0.27774812285011186,0.8616833431430253,0.7645281654822307,0.779608856128414,0.7539604351008641
