epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31752,4534,4536,4537,4538,4537,4535,4535
2,31752,4535,4533,4538,4537,4534,4538,4537
3,31752,4538,4536,4537,4537,4536,4536,4532
4,31752,4538,4533,4536,4537,4535,4537,4536
5,31752,4537,4537,4535,4535,4536,4535,4537
6,31752,4538,4535,4537,4535,4535,4535,4537
7,31752,4534,4537,4537,4537,4536,4535,4536
8,31752,4536,4537,4536,4535,4536,4535,4537
9,31752,4535,4537,4536,4536,4536,4535,4537
10,31752,4535,4537,4536,4536,4537,4536,4535
11,31752,4538,4535,4536,4536,4534,4535,4538
12,31752,4534,4537,4534,4536,4536,4538,4537
13,31752,4536,4536,4538,4535,4535,4536,4536
14,31752,4536,4536,4532,4537,4536,4537,4538
15,31752,4537,4534,4538,4537,4536,4535,4535
16,31752,4537,4536,4536,4536,4536,4535,4536
17,31752,4537,4535,4536,4535,4535,4537,4537
18,31752,4535,4536,4533,4538,4537,4537,4536
19,31752,4536,4536,4538,4533,4537,4534,4538
