epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31968,4567,4566,4566,4568,4568,4568,4565
2,31968,4564,4567,4568,4568,4566,4567,4568
3,31968,4568,4566,4569,4564,4568,4569,4564
4,31968,4567,4566,4567,4565,4567,4568,4568
5,31968,4569,4567,4569,4566,4564,4568,4565
6,31968,4565,4568,4565,4567,4569,4566,4568
7,31968,4564,4569,4568,4568,4565,4567,4567
8,31968,4569,4567,4566,4565,4568,4566,4567
9,31968,4568,4567,4567,4565,4566,4567,4568
10,31968,4566,4567,4566,4568,4569,4568,4564
11,31968,4568,4568,4565,4568,4567,4566,4566
12,31968,4566,4566,4568,4566,4567,4568,4567
