epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,32016,4573,4571,4575,4573,4574,4575,4575
2,32016,4573,4572,4575,4575,4575,4574,4572
3,32016,4575,4575,4573,4574,4574,4572,4573
4,32016,4574,4574,4574,4573,4574,4573,4574
5,32016,4574,4574,4572,4574,4574,4574,4574
6,32016,4575,4572,4573,4574,4575,4575,4572
7,32016,4573,4573,4573,4575,4574,4573,4575
8,32016,4575,4574,4573,4573,4573,4574,4574
9,32016,4573,4571,4574,4575,4575,4574,4574
10,32016,4575,4575,4572,4572,4575,4574,4573
11,32016,4574,4575,4573,4574,4574,4574,4572
12,32016,4574,4573,4573,4574,4574,4573,4575
13,32016,4573,4572,4574,4575,4574,4574,4574
14,32016,4571,4574,4574,4575,4573,4574,4575
15,32016,4574,4574,4574,4574,4573,4573,4574
16,32016,4573,4574,4574,4574,4574,4574,4573
17,32016,4574,4573,4572,4574,4575,4573,4575
18,32016,4574,4572,4574,4573,4573,4575,4575
19,32016,4574,4573,4574,4573,4573,4575,4574
20,32016,4575,4571,4575,4574,4574,4573,4574
21,32016,4574,4575,4573,4573,4573,4574,4574
22,32016,4573,4572,4574,4575,4575,4573,4574
23,32016,4572,4573,4574,4574,4574,4574,4575
24,32016,4573,4575,4575,4573,4574,4574,4572
25,32016,4575,4572,4572,4574,4574,4575,4574
