epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,1.3212032263969873,1.0053627250923052,0.5445544554455446,0.19251778047832654,0.2106320967877067,0.21900557736899404
2,0.45385416504275333,0.3906702334999055,0.786255096097845,0.590748963733451,0.7457164997236579,0.5196415262779461
3,0.22869616525468636,0.4081744772589041,0.7973209085614443,0.6579202536348253,0.7958264475319891,0.6168872192577035
4,0.1426694881700276,0.3613020855619753,0.8468258590564939,0.7027747521279475,0.8450606138825209,0.6418250174879102
5,0.09190479286631022,0.5185359724978298,0.8264414676761794,0.6510481412793655,0.848148676075514,0.5832933477161445
6,0.066862505424539,0.5209837686325045,0.8276062900407688,0.681875763089329,0.8052094095779027,0.6243150008270951
7,0.050877241084437176,0.7285549037487331,0.8322655794991264,0.6883598849324819,0.8290370572989846,0.6256768052056765
8,0.043371873967845274,0.6746586774259211,0.8264414676761794,0.7120441353010556,0.8108088138826229,0.6660085636323014
9,0.03450397745876685,0.824244151853438,0.8276062900407688,0.6997882277393631,0.8132881845678617,0.6525279147687536
10,0.02902845470628319,1.2495470972746843,0.807804309842749,0.6386540140557163,0.8089506097078699,0.5823411001834472
11,0.026276103359778282,0.9185589887238671,0.8363424577751892,0.7019301438266851,0.8324597847529829,0.6341112428012732
12,0.023312728913875248,1.2499188022156846,0.8380896913220733,0.6915046269426017,0.8058052726674712,0.6341849676943518
13,0.020615839324168286,1.0826233577980071,0.8293535235876529,0.6917850238748043,0.8048317387796219,0.6400154425644083
14,0.0159527927215175,1.02448813364409,0.844496214327315,0.7369234920623386,0.7844471817393633,0.7181088834403678
15,0.017111329867177245,1.1830714900387735,0.8392545136866628,0.6964439880599953,0.8263653456902768,0.6343088006396546
16,0.015229400478129764,1.4040365912770767,0.7944088526499709,0.7017932472060396,0.7909879980700414,0.6645016550815653
17,0.011348060583387158,1.3705180720322339,0.8363424577751892,0.6952121399188512,0.8084526778983429,0.6384991054937016
18,0.010841895648997736,1.6573031943908103,0.8345952242283052,0.7029943443026143,0.8180036520211899,0.6419409414332415
19,0.011466062781290639,1.3703101667675683,0.831100757134537,0.7086043556223108,0.8291173315582394,0.6520838630077334
20,0.009547977356920012,1.4040558419438742,0.8345952242283052,0.6829884469793723,0.8038989559174589,0.6127082541488278
21,0.008631952849077255,1.4738132035371274,0.8404193360512522,0.6504876756293526,0.8548869311354858,0.5854073051248164
