epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,6784,948,988,960,1008,993,925,962
2,6784,1056,979,968,919,959,981,922
3,6784,913,1011,956,990,955,986,973
4,6784,963,959,1028,969,1007,899,959
5,6784,1007,957,986,998,962,928,946
6,6784,943,964,968,963,992,998,956
7,6784,983,965,977,974,928,994,963
8,6784,948,946,973,932,959,1004,1022
9,6784,991,973,893,1011,982,976,958
10,6784,988,990,928,955,938,977,1008
11,6784,976,982,937,989,924,997,979
12,6784,977,933,1010,931,988,983,962
13,6784,1007,1014,942,974,976,892,979
14,6784,1002,1019,956,914,977,979,937
15,6784,932,1029,1026,961,943,947,946
16,6784,967,926,964,998,963,996,970
17,6784,965,1002,969,972,926,963,987
18,6784,970,943,979,989,983,948,972
19,6784,986,957,977,965,942,989,968
20,6784,954,947,943,953,1035,970,982
21,6784,956,957,964,993,944,979,991
22,6784,923,956,1040,991,978,943,953
23,6784,984,960,977,961,938,990,974
24,6784,1038,943,974,953,941,973,962
25,6784,1007,976,960,958,1008,940,935
