epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,0.8536436358150447,0.7466745744459331,0.7253855278766311,0.5972434398254997,0.7384867874787678,0.6285715266153087
2,0.41514791941867685,0.44116570366787966,0.763938315539739,0.6905309123728172,0.6518298868709737,0.7700939972506965
3,0.2816721986065496,0.3897723511585759,0.7603795966785291,0.7276498648485711,0.6962448709899963,0.7909471829633216
4,0.22387319515055082,0.5723074816374315,0.7686832740213523,0.7138528962891783,0.756558320435429,0.7157982887201138
5,0.1477299015266153,0.4790806046080518,0.802491103202847,0.7652001005465846,0.8011457011691606,0.771903643395038
6,0.13257965436732433,0.5484187074705713,0.8143534994068802,0.7644806304023624,0.7686857189821489,0.7944381915931287
7,0.11174212894314584,0.9078501353937166,0.758600237247924,0.7111725482374414,0.7772357468499397,0.7316864068913429
8,0.07285172683801854,0.7569919751866918,0.861803084223013,0.7744750750594562,0.8200566028218044,0.7463637173924006
9,0.09979182544146788,0.8311147585129085,0.8327402135231317,0.7269885345224854,0.7699843133560187,0.7205750203765551
10,0.09900763948483146,0.6680761613411219,0.8374851720047449,0.7726172055726026,0.7677341881029498,0.788381098099875
11,0.07388040408456945,0.6799567554844543,0.8374851720047449,0.7771851411316961,0.7625555898785145,0.8031714744339117
12,0.059174604689755106,0.9020581012359209,0.8214709371293001,0.7373527050162244,0.7727673457753467,0.7382059152633341
13,0.08081469281559002,0.5370753165276694,0.8398576512455516,0.7765216925949467,0.7733871716327856,0.7887091988296288
14,0.0566031682450008,1.115995946886103,0.8600237247924081,0.7698724190884573,0.8157911840944617,0.7500365034104517
15,0.07972658857843785,1.0035735321081896,0.798932384341637,0.7216228373724884,0.7596149700478355,0.7416089608610716
16,0.034918186622715716,0.9724862280660612,0.8647686832740213,0.781014496824704,0.8057507224135786,0.775631161750466
17,0.041198125307861155,1.0269908285203655,0.8463819691577699,0.7629929707387183,0.7825082064201077,0.7688971752019943
18,0.041082514143059634,1.1016800860668576,0.8570581257413997,0.7692626443834026,0.8238552465723014,0.7541650286276443
19,0.033655138210753714,1.077374547458445,0.8564650059311981,0.7792047771763607,0.8302393144190525,0.7520569327668396
20,0.03490585936804495,1.11833459042123,0.8712930011862396,0.7837314022327829,0.832477583957158,0.7509386516839286
21,0.04418284168251667,1.1150726220536653,0.8629893238434164,0.7834102000852613,0.8410112822019274,0.7593636584701634
22,0.030030054660768794,1.2384117162297543,0.8493475682087782,0.7636694084852478,0.8223869288377103,0.7395486363072731
23,0.02509482985377237,1.285558114838212,0.8665480427046264,0.7594874765809536,0.8073464971835829,0.7321348015057575
24,0.036185077420119546,1.0186429379793451,0.872479240806643,0.7999832727122259,0.8315576798683652,0.7762444133899049
25,0.043435942431591136,1.374396187171484,0.868920521945433,0.7604247116219298,0.8121569390411792,0.7423653958665911
26,0.026908892275351495,1.3946439519263283,0.8534994068801898,0.755713432377991,0.808131032840343,0.7405029711354744
27,0.0251178161964866,1.21854091180903,0.8647686832740213,0.7839101860092889,0.8390517940276826,0.7480566733638463
28,0.03202612770920101,1.2899976290174178,0.8760379596678529,0.7832995633165935,0.8424922338674615,0.765110744130926
29,0.02281254052073598,1.1837747171233448,0.8784104389086596,0.7835870921940132,0.821233645028572,0.7657105173920608
30,0.023311621044895047,1.0433932367537966,0.8861209964412812,0.8161798343658573,0.8483097145062375,0.7932690586695685
31,0.024756028504494026,1.1556810207934782,0.8766310794780545,0.8032213480670283,0.8488831892770258,0.7808927783516141
32,0.014388292365010612,1.2241270498782102,0.8819691577698695,0.8036875949619077,0.8493996903479663,0.7780754763178096
33,0.012746220098984799,1.3081865662747918,0.8718861209964412,0.7855906328194137,0.8382979089909901,0.7574126595407706
34,0.01733618688952035,1.1704326625464907,0.8760379596678529,0.7962924988786483,0.8521710818640994,0.7640607690578805
35,0.015394465638646236,1.2377551225923458,0.8819691577698695,0.8049135406427063,0.8649127941820778,0.7672354773831304
36,0.014461683073516227,1.180020339188582,0.8695136417556346,0.7909233258151922,0.8393309544734144,0.7662579433142737
37,0.02247577499889852,1.2844192824197724,0.8766310794780545,0.7965448525545779,0.8530203343105323,0.7678887044200197
38,0.0172975467476886,1.119767404097655,0.8795966785290629,0.8096867752838778,0.848556031441839,0.7851522969808549
39,0.009814707249474077,1.10800552258877,0.8825622775800712,0.8101625138455916,0.8508344123752066,0.7854655721282936
40,0.008359538854377652,1.2105860754331434,0.8825622775800712,0.8059966650390189,0.8569321389149609,0.7780083196350446
