epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,0.9452756019199595,1.089898923390799,0.6621542083578575,0.48383133530131234,0.4503479217517002,0.5917843301079646
2,0.45076456508215734,0.5341374675997279,0.772218952324897,0.6547925439612184,0.646755252227735,0.7161896621816022
3,0.26333171940025163,0.665780471799239,0.7939964685108888,0.6913214291656551,0.7103738640917259,0.7017779209738081
4,0.21093784724088277,0.559625773595392,0.7557386698057681,0.7049564165373013,0.708421832878331,0.7461037957262351
5,0.17211687034543824,0.4875769145821158,0.7939964685108888,0.7201616524587086,0.6934317426890659,0.7759350002338234
6,0.12830372623660985,0.7191037062981526,0.8375515008828722,0.7207919055723556,0.7665685697083875,0.7134324095304946
7,0.10778322447748745,0.5688201027184153,0.8193054738081225,0.7267423310035362,0.6960869377472506,0.7781308082525105
8,0.10093866740079487,0.6688343378887525,0.8434373160682754,0.7272020166439083,0.7325057091031714,0.7285343120116762
9,0.10086305508499636,0.606532278632089,0.809299587992937,0.741769246476484,0.7769845887871212,0.7639081567582718
10,0.09163253586739302,0.6215138363436381,0.8475573866980577,0.7401494654876483,0.7342606821335114,0.7654988171096787
11,0.10010742666199804,0.5982079144715416,0.822248381400824,0.7599171167849431,0.7422326213148287,0.791441950405715
12,0.08363278186058297,0.6979020164475184,0.8328428487345497,0.7596567223939339,0.7846321227525008,0.7685320838397496
13,0.08511256959070178,1.040686510261201,0.8057680988816951,0.7276305393525018,0.8027241985444723,0.7157445669863646
14,0.056090055189698056,0.875176877848968,0.8087110064743968,0.7387055726920505,0.8066462891934355,0.7405302834956969
15,0.061075627577819806,0.7524167505805714,0.859329017068864,0.754263530178694,0.7992687392703249,0.7391543737327855
16,0.04075378563857692,0.7298029396137363,0.8563861094761624,0.7529372716796454,0.7617213685822452,0.7512837493896184
17,0.0409902525925324,0.7685144462325814,0.861094761624485,0.7476540437491492,0.7950586539134877,0.7392386949938051
18,0.03368968765511561,0.9176267832967521,0.8640376692171866,0.7496044527149385,0.80979484902607,0.7151821532864568
19,0.03066281014779473,0.7579996290517618,0.8605061801059447,0.7804665569735334,0.8266930628143659,0.7740408915835341
20,0.03158431944474989,0.8775412985954745,0.8675691583284285,0.7701796742682233,0.8139466717155628,0.7512486010901809
21,0.03301937484066002,0.7537326572834683,0.8563861094761624,0.7687504551693417,0.8121112589434166,0.7545414870351822
22,0.03525184518452186,0.9573092588258099,0.8681577398469688,0.764679387753686,0.8158591671967066,0.7376189392500967
23,0.023153516901520028,0.8048440506007487,0.8581518540317834,0.74782791623081,0.7620901980033684,0.7461850214657894
24,0.020974944321514,0.8648246988208457,0.8616833431430253,0.7553342798330923,0.7942175108793467,0.7380040640304155
25,0.025764170707107577,0.9079533298387985,0.8552089464390819,0.7613537396944127,0.8112913217366235,0.7391789148077793
26,0.02346919503119459,0.9255609440136048,0.861094761624485,0.7687418257618714,0.816190629533823,0.7421895972270912
27,0.022205465466215494,0.8695369000586339,0.8711006474396704,0.7791363333225949,0.8094181177044636,0.766088139051797
28,0.018856987551065258,0.8439662052019333,0.8640376692171866,0.7539586382578448,0.7514303158158944,0.7626068072490145
29,0.013874603232697529,0.9042590491976952,0.8634490876986463,0.7614152543197686,0.7924764451091963,0.7501283700341947
