epoch,train_loss,val_loss,val_acc,val_f1,val_precision,val_recall
1,1.470706113115819,1.0819701596542641,0.6312981624184943,0.18500973634933066,0.20781584856316124,0.19101083092062296
2,0.5138459014211724,0.2572895742573396,0.8411381149970362,0.705568998954304,0.7850082297066132,0.6580880559391996
3,0.17238319317300715,0.22267380405079434,0.8701837581505631,0.7702818708812258,0.8681084386055054,0.7071572090364994
4,0.08482195998174334,0.25433968437923965,0.8761114404267931,0.7865155073467655,0.8572502954632909,0.7518215891842235
5,0.049320677873437746,0.24016839540908458,0.8897451096621221,0.8169810662174631,0.8846582284736816,0.7653820716372596
6,0.027561792689011634,0.2553338458496405,0.8826318909306461,0.808346552368943,0.8553379281441205,0.779223799313292
7,0.019556333701558345,0.2824024150852859,0.8956727919383521,0.824163935666581,0.8680888645050782,0.791391100544509
8,0.01325597886883741,0.3535907307764824,0.8879668049792531,0.811353255194528,0.8629212699163624,0.7872114901030665
9,0.009807049386294975,0.35076431840276134,0.8885595732068761,0.8195831483622985,0.8477633670315671,0.7995438932147861
10,0.007608676529712111,0.41953187420616417,0.8879668049792531,0.7872804412150278,0.8729767901120509,0.7334064779522469
11,0.005485096740338993,0.41058327512989845,0.8832246591582691,0.794897695433448,0.8683566089494865,0.740979185661782
12,0.005477881000266035,0.5026195039719867,0.8826318909306461,0.791681814554534,0.8660161773099635,0.747540102925164
13,0.0043667372049677475,0.49097152234603697,0.8684054534676942,0.7736609824755721,0.8484495663302851,0.7211467977990745
14,0.004128099200973489,0.48655408262183536,0.8772969768820391,0.8004461349119163,0.8263351745257163,0.7892440878749927
