epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31936,4564,4565,4565,4560,4559,4563,4560
2,31936,4565,4563,4559,4559,4564,4564,4562
3,31936,4564,4559,4560,4563,4564,4565,4561
4,31936,4562,4556,4565,4563,4560,4565,4565
5,31936,4564,4561,4560,4563,4562,4564,4562
6,31936,4561,4566,4563,4559,4562,4562,4563
7,31936,4559,4562,4559,4562,4565,4563,4566
8,31936,4563,4563,4563,4564,4561,4563,4559
9,31936,4565,4559,4566,4560,4560,4564,4562
10,31936,4562,4561,4561,4562,4564,4563,4563
11,31936,4564,4561,4563,4562,4562,4562,4562
12,31936,4563,4561,4563,4562,4562,4563,4562
13,31936,4561,4566,4565,4563,4559,4562,4560
14,31936,4563,4561,4560,4564,4560,4564,4564
