epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31744,4537,4536,4531,4534,4536,4537,4533
2,31744,4535,4537,4535,4534,4535,4534,4534
3,31744,4536,4534,4535,4535,4534,4534,4536
4,31744,4535,4534,4537,4536,4532,4533,4537
5,31744,4536,4532,4535,4535,4536,4535,4535
6,31744,4535,4532,4535,4537,4536,4533,4536
7,31744,4533,4535,4537,4533,4538,4532,4536
8,31744,4536,4530,4537,4534,4537,4534,4536
9,31744,4535,4532,4536,4535,4536,4537,4533
10,31744,4536,4535,4531,4533,4536,4537,4536
11,31744,4536,4535,4534,4533,4535,4535,4536
12,31744,4537,4536,4535,4532,4536,4534,4534
13,31744,4536,4532,4536,4533,4534,4536,4537
14,31744,4537,4534,4532,4535,4537,4534,4535
15,31744,4534,4534,4534,4536,4534,4535,4537
16,31744,4534,4533,4535,4535,4535,4535,4537
17,31744,4531,4535,4537,4536,4535,4534,4536
18,31744,4533,4536,4537,4535,4534,4534,4535
19,31744,4532,4536,4534,4536,4534,4534,4538
20,31744,4534,4534,4536,4535,4536,4534,4535
