epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31936,4561,4561,4564,4564,4564,4563,4559
2,31936,4563,4563,4559,4560,4564,4565,4562
3,31936,4560,4563,4561,4560,4565,4564,4563
4,31936,4560,4564,4560,4561,4563,4561,4567
5,31936,4562,4561,4564,4564,4564,4560,4561
6,31936,4562,4556,4564,4562,4566,4562,4564
7,31936,4564,4565,4564,4560,4560,4563,4560
8,31936,4565,4562,4564,4562,4561,4561,4561
9,31936,4560,4562,4565,4564,4564,4561,4560
10,31936,4563,4563,4559,4565,4560,4565,4561
11,31936,4564,4559,4562,4565,4563,4564,4559
12,31936,4563,4564,4562,4560,4560,4565,4562
13,31936,4557,4566,4565,4558,4565,4561,4564
14,31936,4562,4559,4565,4560,4566,4562,4562
15,31936,4561,4562,4563,4564,4563,4563,4560
16,31936,4565,4564,4560,4561,4563,4561,4562
17,31936,4565,4558,4560,4562,4562,4565,4564
18,31936,4564,4562,4562,4560,4563,4562,4563
19,31936,4559,4565,4560,4562,4565,4561,4564
20,31936,4565,4563,4561,4562,4563,4559,4563
