epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,32000,4572,4568,4574,4571,4573,4573,4569
2,32000,4572,4571,4572,4568,4570,4574,4573
3,32000,4571,4571,4573,4570,4569,4574,4572
4,32000,4571,4572,4569,4572,4573,4573,4570
5,32000,4571,4570,4570,4571,4571,4573,4574
6,32000,4569,4571,4573,4572,4571,4572,4572
7,32000,4568,4571,4571,4574,4573,4572,4571
8,32000,4573,4572,4572,4568,4573,4570,4572
9,32000,4569,4569,4572,4573,4572,4573,4572
10,32000,4571,4571,4571,4572,4573,4571,4571
11,32000,4572,4571,4572,4571,4573,4573,4568
12,32000,4575,4571,4572,4570,4569,4573,4570
